Email,Password,PhoneNumber,LastName,FirstName,Salutation
bLane@instructor.brainnotfound.com,MathForNerds,8504047890,Lane,Benjamin,Dr
mFoo@instructor.brainnotfound.com,FooLikesBanana,8504041345,Foo,Mickey,Dr
mgeary@instructor.brainnotfound.com,computersRock,8504041234,Geary,Mike,Dr
bHalsey@instructor.brainnotfound.com,webDesignHTMLCSS,8504045678,Halsey,Bryan,Mr
rHowell@instructor.brainnotfound.com,DiligenceOrderConcise,8504046890,Howell,Robert,Dr
jRaplin@instructor.brainnotfound.com,RappingIsGreat,8504045789,Raplin,Jeff,Mr
mReadhead@instructor.brainnotfound.com,redHeadMagic,8504043456,Redhead,Mike,Mr
jRedlin@instructor.brainnotfound.com,pastorCampusChurch,8504044678,Redlin,Jeff,Dr
aSmith@instructor.brainnotfound.com,FatherofEconomy,8504042456,Smith,Adam,Dr
jSparks@instructor.brainnotfound.com,logicIsKey,8504044567,Sparks,Jonathan,Dr
mStemen@instructor.brainnotfound.com,variablesBanana,8504046789,Stemen,Mickey,Mr
mZorro@instructor.brainnotfound.com,ZorroisTheBest,8504042345,Zorro,Mike,Dr
