Email,Password,PhoneNumber,LastName,FirstName,Salutation,Address,City,State,Zip
bLane@instructor.brainnotfound.com,MathForNerds,8504047890,Lane,Benjamin,Dr.,73 State Road 434 E,Pensacola,FL,32551
mFoo@instructor.brainnotfound.com,FooLikesBanana,8504041345,Foo,Mickey,Dr.,1 Central Ave,Pensacola,FL,32903
mgeary@instructor.brainnotfound.com,computersRock,8504041234,Geary,Mike,Dr.,6 Greenleaf Ave,Pensacola,FL,33601
bHalsey@instructor.brainnotfound.com,webDesignHTMLCSS,8504045678,Halsey,Bryan,Mr.,1 State Route 27,Pensacola,FL,32452
rHowell@instructor.brainnotfound.com,DiligenceOrderConcise,8504046890,Howell,Robert,Dr.,2 Cedar Ave #84,Pensacola,FL,32798
jRaplin@instructor.brainnotfound.com,RappingIsGreat,8504045789,Raplin,Jeff,Mr.,639 Main St,Pensacola,FL,32323
mReadhead@instructor.brainnotfound.com,redHeadMagic,8504043456,Redhead,Mike,Mr.,90991 Thorburn Ave,Pensacola,FL,32668
jRedlin@instructor.brainnotfound.com,pastorCampusChurch,8504044678,Redlin,Jeff,Dr.,618 W Yakima Ave,Pensacola,FL,32577
aSmith@instructor.brainnotfound.com,FatherofEconomy,8504042456,Smith,Adam ,Dr.,14288 Foster Ave #4121,Pensacola,FL,32842
jSparks@instructor.brainnotfound.com,logicIsKey,8504044567,Sparks,Jonathan,Dr.,74 W College St,Pensacola,FL,35201
mStemen@instructor.brainnotfound.com,variablesBanana,8504046789,Stemen,Mickey,Mr.,3305 Nabell Ave #679,Pensacola,FL,34968
mZorro@instructor.brainnotfound.com,ZorroisTheBest,8504042345,Zorro,Mike ,Dr.,74 W College St,Pensacola,FL,32221
dAdkins@instructor.brainnotfound.com,DaleOfTheAdkins,8504047123,Adkins,Dale,Dr.,30 W 80th St #1995,Pensacola,FL,33658
